event_id,ts,video_rel,false_trigger,notes,reviewed_at,species,movement,count
76,2025-10-28 02:15:34,25  10  24  10  33\76.mp4,0,,2026-02-02T08:56:21,Non fish,Down,1.0
77,2025-10-28 12:05:45,25  10  24  10  33\77.mp4,0,,2026-02-02T08:56:36,Non fish,Down,1.0
78,2025-10-28 12:56:30,25  10  24  10  33\78.mp4,0,,2026-02-02T08:56:49,,,
79,2025-10-28 17:10:36,25  10  24  10  33\79.mp4,0,,2026-02-02T08:57:03,Chinook,Up,1.0
80,2025-10-28 21:16:13,25  10  24  10  33\80.mp4,0,,2026-02-02T08:57:20,Chinook,Up,1.0
81,2025-10-29 00:05:14,25  10  24  10  33\81.mp4,0,,2026-02-02T08:57:35,Chinook,Up,1.0
82,2025-10-29 04:04:28,25  10  24  10  33\82.mp4,0,,2026-02-02T08:57:48,Non fish,Down,1.0
83,2025-10-29 14:44:35,25  10  24  10  33\83.mp4,0,,2026-02-02T08:58:05,Chinook,Up,1.0
84,2025-10-29 15:06:01,25  10  24  10  33\84.mp4,0,,2026-02-02T08:58:18,Chinook,Up,1.0
85,2025-10-29 15:15:51,25  10  24  10  33\85.mp4,0,,2026-02-02T08:58:33,Chinook,Up,1.0
86,2025-10-29 15:46:13,25  10  24  10  33\86.mp4,0,,2026-02-02T08:59:09,Coho,Up,1.0
87,2025-10-29 15:48:23,25  10  24  10  33\87.mp4,0,,2026-02-02T08:59:23,Chinook,Up,1.0
88,2025-10-29 15:49:48,25  10  24  10  33\88.mp4,0,,2026-02-02T08:59:37,Chinook,Up,1.0
89,2025-10-29 16:18:11,25  10  24  10  33\89.mp4,0,,2026-02-02T08:59:50,Chinook,Up,1.0
90,2025-10-29 16:33:14,25  10  24  10  33\90.mp4,0,,2026-02-02T09:00:04,Chinook,Up,1.0
91,2025-10-29 16:47:37,25  10  24  10  33\91.mp4,0,,2026-02-02T09:00:18,Chinook,Up,1.0
92,2025-10-29 17:00:48,25  10  24  10  33\92.mp4,0,,2026-02-02T09:00:33,Chinook,Up,1.0
93,2025-10-29 17:22:32,25  10  24  10  33\93.mp4,0,A,2026-02-02T09:00:52,Chinook,Stay,1.0
93,2025-10-29 17:22:32,25  10  24  10  33\93.mp4,0,A,2026-02-02T09:00:52,Chinook,Up,1.0
94,2025-10-29 17:38:41,25  10  24  10  33\94.mp4,0,,2026-02-02T09:01:08,Chinook,Up,1.0
95,2025-10-29 18:21:59,25  10  24  10  33\95.mp4,0,,2026-02-02T09:01:24,Chinook,Up,1.0
96,2025-10-29 18:50:04,25  10  24  10  33\96.mp4,0,,2026-02-02T09:01:47,Chinook,Up,1.0
97,2025-10-29 19:19:59,25  10  24  10  33\97.mp4,0,,2026-02-02T09:02:41,Chinook,Up,1.0
98,2025-10-29 20:04:52,25  10  24  10  33\98.mp4,0,,2026-02-02T09:02:55,Chinook,Up,1.0
99,2025-10-29 20:20:46,25  10  24  10  33\99.mp4,0,,2026-02-02T09:03:09,Chinook,Up,1.0
100,2025-10-29 20:47:34,25  10  24  10  33\100.mp4,0,,2026-02-02T09:03:26,Chinook,Up,1.0
101,2025-10-29 21:17:25,25  10  24  10  33\101.mp4,0,,2026-02-02T09:03:45,Chinook,Up,1.0
102,2025-10-29 22:33:23,25  10  24  10  33\102.mp4,0,,2026-02-02T09:03:59,Chinook,Up,1.0
103,2025-10-29 22:57:15,25  10  24  10  33\103.mp4,0,,2026-02-02T09:04:13,Chinook,Up,1.0
104,2025-10-29 22:59:20,,0,,2026-02-02T09:04:17,Non fish,Stay,1.0
105,2025-10-29 22:59:29,25  10  24  10  33\105.mp4,0,,2026-02-02T09:04:43,Chinook,Up,2.0
106,2025-10-29 23:34:04,25  10  24  10  33\106.mp4,0,,2026-02-02T09:05:04,Chinook,Up,1.0
107,2025-10-29 23:58:11,25  10  24  10  33\107.mp4,0,,2026-02-02T09:05:18,Chinook,Up,1.0
108,2025-10-30 00:22:19,25  10  24  10  33\108.mp4,0,,2026-02-02T09:05:35,Chinook,Up,1.0
109,2025-10-30 01:42:22,25  10  24  10  33\109.mp4,0,,2026-02-02T09:06:09,Chinook,Up,1.0
110,2025-10-30 13:52:31,25  10  24  10  33\110.mp4,0,,2026-02-02T09:06:28,Non fish,Down,1.0
111,2025-10-30 14:33:44,25  10  24  10  33\111.mp4,0,T,2026-02-02T09:06:51,Chinook,Up,1.0
112,2025-10-30 14:45:28,25  10  24  10  33\112.mp4,0,T,2026-02-02T09:07:07,Chinook,Up,1.0
113,2025-10-30 15:19:38,25  10  24  10  33\113.mp4,0,T,2026-02-02T09:07:22,Chinook,Up,1.0
114,2025-10-30 15:33:17,25  10  24  10  33\114.mp4,0,T,2026-02-02T09:07:38,Non fish,Down,1.0
115,2025-10-30 15:40:14,25  10  24  10  33\115.mp4,0,T,2026-02-02T09:07:51,Non fish,Down,1.0
116,2025-10-30 15:41:39,25  10  24  10  33\116.mp4,0,T,2026-02-02T09:08:06,Chinook,Down,1.0
117,2025-10-30 15:42:16,25  10  24  10  33\117.mp4,0,T,2026-02-02T09:08:20,Chinook,Up,1.0
118,2025-10-30 15:49:23,,0,,2026-02-02T09:10:18,Non fish,Stay,1.0
119,2025-10-30 15:49:30,25  10  24  10  33\119.mp4,0,T,2026-02-02T09:08:38,Rainbow,Down,1.0
120,2025-10-30 15:51:10,,0,,2026-02-02T09:10:34,Non fish,Stay,1.0
121,2025-10-30 15:51:11,25  10  24  10  33\121.mp4,0,A/T,2026-02-02T09:10:11,Chinook,Stay,1.0
121,2025-10-30 15:51:11,25  10  24  10  33\121.mp4,0,A/T,2026-02-02T09:10:11,Rainbow,Up,1.0
122,2025-10-30 15:58:10,25  10  24  10  33\122.mp4,0,T,2026-02-02T09:10:24,Chinook,Stay,1.0
123,2025-10-30 16:01:30,25  10  24  10  33\123.mp4,0,T,2026-02-02T09:10:30,Chinook,Down,1.0
124,2025-10-30 16:01:47,25  10  24  10  33\124.mp4,0,T,2026-02-02T09:10:27,Chinook,Stay,1.0
125,2025-10-30 16:02:36,25  10  24  10  33\125.mp4,0,T,2026-02-02T09:10:52,Chinook,Stay,1.0
126,2025-10-30 16:03:11,,0,,2026-02-02T09:10:54,Non fish,Stay,1.0
127,2025-10-30 16:03:15,,0,,2026-02-02T09:10:57,Non fish,Stay,1.0
128,2025-10-30 16:03:21,25  10  24  10  33\128.mp4,0,T,2026-02-02T09:11:15,Chinook,Stay,1.0
129,2025-10-30 16:03:27,25  10  24  10  33\129.mp4,0,T,2026-02-02T09:11:28,Chinook,Down,1.0
130,2025-10-30 16:03:59,,0,,2026-02-02T09:11:31,Non fish,Stay,1.0
131,2025-10-30 16:04:09,25  10  24  10  33\131.mp4,0,T,2026-02-02T09:12:20,Chinook,Down,1.0
132,2025-10-30 16:04:15,25  10  24  10  33\132.mp4,0,,2026-02-02T09:12:34,Chinook,Stay,1.0
132,2025-10-30 16:04:15,25  10  24  10  33\132.mp4,0,,2026-02-02T09:12:34,Chinook,Up,1.0
133,2025-10-30 16:04:30,25  10  24  10  33\133.mp4,0,T,2026-02-02T09:12:50,Chinook,Stay,1.0
134,2025-10-30 16:08:14,25  10  24  10  33\134.mp4,0,T,2026-02-02T09:13:04,Chinook,Up,1.0
135,2025-10-30 16:13:52,,0,,2026-02-02T09:13:07,Non fish,Stay,1.0
136,2025-10-30 16:13:58,,0,,2026-02-02T09:13:10,Non fish,Stay,1.0
137,2025-10-30 16:14:03,25  10  24  10  33\137.mp4,0,T,2026-02-02T09:13:26,Chinook,Stay,1.0
138,2025-10-30 16:14:41,25  10  24  10  33\138.mp4,0,,2026-02-02T09:13:44,Chinook,Down,1.0
138,2025-10-30 16:14:41,25  10  24  10  33\138.mp4,0,,2026-02-02T09:13:44,Chinook,Up,1.0
139,2025-10-30 16:25:26,,0,,2026-02-02T09:13:47,Non fish,Stay,1.0
140,2025-10-30 16:25:27,25  10  24  10  33\140.mp4,0,T,2026-02-02T09:14:05,Chinook,Up,2.0
141,2025-10-30 16:27:39,25  10  24  10  33\141.mp4,0,T,2026-02-02T09:15:09,Chinook,Stay,1.0
142,2025-10-30 16:32:57,25  10  24  10  33\142.mp4,0,T,2026-02-02T09:15:25,Rainbow,Stay,1.0
143,2025-10-30 16:33:18,25  10  24  10  33\143.mp4,0,T,2026-02-02T09:15:42,Rainbow,Down,1.0
144,2025-10-30 16:33:51,25  10  24  10  33\144.mp4,0,T,2026-02-02T09:15:59,Rainbow,Stay,1.0
145,2025-10-30 16:34:11,25  10  24  10  33\145.mp4,0,,2026-02-02T09:16:14,Rainbow,Down,1.0
146,2025-10-30 16:35:48,25  10  24  10  33\146.mp4,0,T,2026-02-02T09:16:28,Rainbow,Up,1.0
147,2025-10-30 16:45:14,25  10  24  10  33\147.mp4,0,T,2026-02-02T09:16:42,Chinook,Up,1.0
148,2025-10-30 16:46:56,25  10  24  10  33\148.mp4,0,T,2026-02-02T09:16:58,Chinook,Up,1.0
149,2025-10-30 16:59:32,25  10  24  10  33\149.mp4,0,T,2026-02-02T09:17:11,Chinook,Up,1.0
