DateTime,storyindex,Depth,Length,Framedepth,Dir,Attrib,Sort,Graphic,Image,speed,calclength,Direction,sortname,calspeed,framepos
2025-09-08 16:06,22,200,362,63,TRUE,61,11,,,,120,Up,Chinook,0.36,16
2025-09-08 16:06,22,212,884,62,TRUE,62,11,,,,127,Up,Chinook,0.88,17
2025-09-08 16:08,22,182,266,70,TRUE,63,11,,,,109,Up,Chinook,0.26,13
2025-09-08 16:11,22,175,1428,80,TRUE,64,11,,,,105,Up,Chinook,1.42,8
2025-09-08 16:11,22,160,118,73,TRUE,65,11,,,,96,Up,Chinook,0.11,11
2025-09-08 16:14,22,175,666,62,TRUE,66,11,,,,105,Up,Chinook,0.66,17
2025-09-08 16:16,22,187,235,65,TRUE,67,11,,,,112,Up,Chinook,0.23,15
2025-09-08 16:16,22,197,545,65,TRUE,68,11,,,,118,Up,Chinook,0.54,15
2025-09-08 16:17,22,180,510,57,TRUE,69,11,,,,108,Up,Chinook,0.51,20
2025-09-08 16:18,22,132,139,72,FALSE,70,11,,?9?,,79,Down,Chinook,0.13,12
2025-09-08 16:18,22,170,166,72,TRUE,71,11,,,,102,Up,Chinook,0.16,12
2025-09-08 16:18,22,192,292,65,TRUE,72,11,,,,115,Up,Chinook,0.29,15
2025-09-08 16:21,22,112,368,66,TRUE,73,11,,,,67,Up,Chinook,0.36,15
2025-09-08 16:22,22,172,141,61,TRUE,74,11,,,,103,Up,Chinook,0.14,18
2025-09-08 16:25,22,160,1648,76,TRUE,75,11,,,,96,Up,Chinook,1.64,10
2025-09-08 16:28,22,160,120,75,TRUE,76,11,,,,96,Up,Chinook,0.12,10
2025-09-08 16:29,22,190,319,71,TRUE,77,11,,,,114,Up,Chinook,0.31,12
2025-09-08 16:30,22,227,387,65,TRUE,78,11,,,,136,Up,Chinook,0.38,15
2025-09-08 16:31,22,192,338,64,TRUE,79,11,,,,115,Up,Chinook,0.33,16
2025-09-08 16:32,22,160,271,70,TRUE,80,11,,,,96,Up,Chinook,0.27,13
2025-09-08 16:34,22,120,634,78,TRUE,81,11,,,,72,Up,Chinook,0.63,9
2025-09-08 16:34,22,110,928,65,FALSE,82,11,,,,66,Down,Chinook,0.92,15
2025-09-08 16:35,22,120,830,57,TRUE,83,11,,,,72,Up,Chinook,0.83,20
2025-09-08 16:35,22,167,380,62,TRUE,84,8,,,,100,Up,Atlantic,0.38,17
2025-09-08 16:42,22,105,343,80,TRUE,85,11,,,,63,Up,Chinook,0.34,8
2025-09-08 16:42,0,105,0,0,TRUE,0,11,,,,63,Up,Chinook,0,49
2025-09-08 16:42,0,105,0,0,TRUE,0,11,,,,63,Up,Chinook,0,49
2025-09-08 16:48,22,185,191,58,TRUE,86,11,,,,111,Up,Chinook,0.19,19
2025-09-08 16:48,22,205,1031,66,TRUE,87,11,,,,123,Up,Chinook,1.03,15
2025-09-08 16:58,22,180,160,73,TRUE,88,11,,,,108,Up,Chinook,0.16,11
2025-09-08 16:58,22,207,545,65,TRUE,89,11,,,,124,Up,Chinook,0.54,15
2025-09-08 16:59,22,150,527,65,TRUE,90,11,,,,90,Up,Chinook,0.52,15
2025-09-08 16:59,22,195,201,76,TRUE,91,11,,,,117,Up,Chinook,0.2,10
2025-09-08 17:00,22,135,442,68,TRUE,92,11,,,,81,Up,Chinook,0.44,14
2025-09-08 17:02,22,162,416,57,TRUE,93,11,,,,97,Up,Chinook,0.41,20
2025-09-08 17:04,22,120,523,62,TRUE,94,11,,,,72,Up,Chinook,0.52,17
2025-09-08 17:05,22,177,1904,68,TRUE,95,11,,,,106,Up,Chinook,1.9,14
2025-09-08 17:05,22,125,667,82,TRUE,96,11,,,,75,Up,Chinook,0.66,7
2025-09-08 17:05,22,210,166,66,TRUE,97,11,,,,126,Up,Chinook,0.16,15
2025-09-08 17:06,22,167,595,67,TRUE,98,11,,,,100,Up,Chinook,0.59,14
2025-09-08 17:07,22,182,304,62,TRUE,99,11,,,,109,Up,Chinook,0.3,17
2025-09-08 17:08,22,165,485,73,TRUE,100,11,,,,99,Up,Chinook,0.48,11
2025-09-08 17:08,22,152,238,58,FALSE,101,11,,,,91,Down,Chinook,0.23,19
2025-09-08 17:11,22,195,157,68,TRUE,102,11,, ,,117,Up,Chinook,0.15,14
2025-09-08 17:15,22,132,2857,55,TRUE,103,11,,,,79,Up,Chinook,2.85,21
2025-09-08 17:15,22,175,2142,68,TRUE,104,11,,,,105,Up,Chinook,2.14,14
2025-09-08 17:15,0,132,0,0,TRUE,0,11,,,,79,Up,Chinook,0,49
2025-09-08 17:19,22,172,60,69,TRUE,105,11,,¢:>,,103,Up,Chinook,0.06,13
2025-09-08 17:19,0,172,0,0,TRUE,0,11,,,,103,Up,Chinook,0,49
2025-09-08 17:26,22,200,140,67,TRUE,106,11,,,,120,Up,Chinook,0.14,14
2025-09-08 17:28,22,210,576,61,TRUE,107,11,,,,126,Up,Chinook,0.57,18
2025-09-08 17:28,22,190,928,67,TRUE,108,11,,,,114,Up,Chinook,0.92,14
2025-09-08 17:31,22,142,328,54,TRUE,109,11,,,,85,Up,Chinook,0.32,21
2025-09-08 17:32,22,125,725,82,TRUE,110,11,,,,75,Up,Chinook,0.72,7
2025-09-08 17:34,22,182,102,69,TRUE,111,11,,,,109,Up,Chinook,0.1,13
2025-09-08 17:34,22,195,1999,39,TRUE,112,11,,,,117,Up,Chinook,1.99,29
2025-09-08 17:37,22,197,154,70,TRUE,113,11,,,,118,Up,Chinook,0.15,13
2025-09-08 17:39,22,180,156,59,TRUE,114,11,,¢,,108,Up,Chinook,0.15,19
2025-09-08 17:39,22,177,211,72,TRUE,115,11,,ù,,106,Up,Chinook,0.21,12
2025-09-08 17:41,22,187,181,72,TRUE,116,11,,=!@,,112,Up,Chinook,0.18,12
2025-09-08 17:42,22,135,1142,41,TRUE,117,11,,,,81,Up,Chinook,1.14,28
2025-09-08 17:44,22,180,249,64,TRUE,118,11,,,,108,Up,Chinook,0.24,16
2025-09-08 17:46,22,167,217,71,TRUE,119,11,,,,100,Up,Chinook,0.21,12
2025-09-08 17:47,22,175,87,73,TRUE,120,11,,"+,",,105,Up,Chinook,0.08,11
2025-09-08 17:49,22,220,130,59,TRUE,121,11,,"",,132,Up,Chinook,0.13,19
2025-09-08 17:54,22,237,197,52,TRUE,122,11,,??,,142,Up,Chinook,0.19,22
2025-09-08 17:56,22,127,85,74,TRUE,123,11,,?{?,,76,Up,Chinook,0.08,11
2025-09-08 17:56,22,130,979,55,TRUE,124,11,,,,78,Up,Chinook,0.97,21
2025-09-08 18:07,22,182,52,68,TRUE,125,11,,¢FQ,,109,Up,Chinook,0.05,14
2025-09-08 18:07,0,182,0,0,TRUE,0,11,,,,109,Up,Chinook,0,49
2025-09-08 18:07,0,182,0,0,TRUE,0,11,,,,109,Up,Chinook,0,49
2025-09-08 18:07,0,182,0,0,TRUE,0,11,,,,109,Up,Chinook,0,49
2025-09-08 18:07,0,182,0,0,TRUE,0,11,,,,109,Up,Chinook,0,49
2025-09-08 18:07,0,182,0,0,TRUE,0,11,,,,109,Up,Chinook,0,49
2025-09-08 18:10,22,117,1523,43,FALSE,126,11,,,,70,Down,Chinook,1.52,27
2025-09-08 18:10,0,117,0,0,TRUE,0,11,,,,70,Up,Chinook,0,49
2025-09-08 18:10,0,117,0,0,FALSE,0,11,,,,70,Down,Chinook,0,49
2025-09-08 18:12,22,150,158,63,TRUE,127,11,,,,90,Up,Chinook,0.15,16
